id,dpname,fb_1,fb_2,fb_3,fb_4,fb_5,bow_1,bow_2,bow_3,bow_4,bow_5,lstm_1,lstm_2,lstm_3,lstm_4,lstm_5,ggnn_1,ggnn_2,ggnn_3,ggnn_4,ggnn_5
1,BenchmarkTest02800_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
2,BenchmarkTest09037_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
3,BenchmarkTest09656_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
4,BenchmarkTest16618_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
5,BenchmarkTest08426_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
6,BenchmarkTest02166_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
7,BenchmarkTest08962_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
8,BenchmarkTest16603_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
9,BenchmarkTest10950_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
10,BenchmarkTest05263_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
11,BenchmarkTest09662_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
12,BenchmarkTest10290_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
13,BenchmarkTest00187_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
14,BenchmarkTest07747_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
15,BenchmarkTest02175_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
16,BenchmarkTest02737_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
17,BenchmarkTest04017_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
18,BenchmarkTest07758_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
19,BenchmarkTest08361_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
20,BenchmarkTest02217_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
21,BenchmarkTest04057_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
22,BenchmarkTest09700_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
23,BenchmarkTest02779_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
24,BenchmarkTest09058_truepositive.txt,1,9,9,9,9,1,1,1,1,1,0,9,9,9,9,0,9,9,9,9
25,BenchmarkTest07736_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
26,BenchmarkTest07112_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
27,BenchmarkTest20959_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
28,BenchmarkTest04104_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
29,BenchmarkTest08444_truepositive.txt,0,9,9,9,9,0,0,1,1,1,1,9,9,9,9,0,9,9,9,9
30,BenchmarkTest14058_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
31,BenchmarkTest08439_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
32,BenchmarkTest03377_truepositive.txt,1,9,9,9,9,1,1,1,1,1,0,9,9,9,9,0,9,9,9,9
33,BenchmarkTest12234_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
34,BenchmarkTest15327_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
35,BenchmarkTest08432_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
36,BenchmarkTest04664_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
37,BenchmarkTest05857_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
38,BenchmarkTest02803_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
39,BenchmarkTest08368_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
40,BenchmarkTest05881_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
41,BenchmarkTest04088_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
42,BenchmarkTest05332_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
43,BenchmarkTest09016_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
44,BenchmarkTest13475_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
45,BenchmarkTest21023_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
46,BenchmarkTest16602_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,0,9,9,9,9,1,9,9,9,9
47,BenchmarkTest10278_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
48,BenchmarkTest08434_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
49,BenchmarkTest16548_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
50,BenchmarkTest00927_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
51,BenchmarkTest13482_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
52,BenchmarkTest21003_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
53,BenchmarkTest09668_falsepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
54,BenchmarkTest04655_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
55,BenchmarkTest17226_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
56,BenchmarkTest03448_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
57,BenchmarkTest08443_truepositive.txt,1,9,9,9,9,1,0,1,1,1,1,9,9,9,9,0,9,9,9,9
58,BenchmarkTest14069_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
59,BenchmarkTest05861_truepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
60,BenchmarkTest20927_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
61,BenchmarkTest01562_truepositive.txt,0,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
62,BenchmarkTest04100_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
63,BenchmarkTest04023_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,0,9,9,9,9
64,BenchmarkTest14663_falsepositive.txt,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9
