seed,alg,strat,split,tprate,fprate,precision,recall,fscore,acc,time
1234,Occ,rand,1,0.886,0.098,88.600,88.600,0.886,89.4737,0.16
1234,Occ,rand,2,0.886,0.049,93.900,88.600,0.912,92.1053,0.16
1234,Occ,rand,3,0.893,0.119,83.300,89.300,0.862,88.5714,0.16
1234,Occ,rand,4,0.861,0.122,86.100,86.100,0.861,87.013,0.14
1234,Occ,rand,5,0.906,0.095,87.900,90.600,0.892,90.5405,0.16
1234,Freq,rand,1,0.857,0.073,90.900,85.700,0.882,89.4737,0.14
1234,Freq,rand,2,0.857,0.073,90.900,85.700,0.882,89.4737,0.14
1234,Freq,rand,3,0.893,0.143,80.600,89.300,0.847,87.1429,0.17
1234,Freq,rand,4,0.861,0.146,83.800,86.100,0.849,85.7143,0.15
1234,Freq,rand,5,0.906,0.167,80.600,90.600,0.853,86.4865,0.14
3252,Occ,rand,1,0.857,0.073,90.900,85.700,0.882,89.4737,0.14
3252,Occ,rand,2,0.886,0.073,91.200,88.600,0.899,90.7895,0.16
3252,Occ,rand,3,0.929,0.143,81.300,92.900,0.867,88.5714,0.17
3252,Occ,rand,4,0.833,0.122,85.700,83.300,0.845,85.7143,0.17
3252,Occ,rand,5,0.875,0.071,90.300,87.500,0.889,90.5405,0.15
3252,Freq,rand,1,0.914,0.122,86.500,91.400,0.889,89.4737,0.14
3252,Freq,rand,2,0.886,0.049,93.900,88.600,0.912,92.1053,0.16
3252,Freq,rand,3,0.893,0.143,80.600,89.300,0.847,87.1429,0.18
3252,Freq,rand,4,0.861,0.098,88.600,86.100,0.873,88.3117,0.14
3252,Freq,rand,5,0.906,0.095,87.900,90.600,0.892,90.5405,0.15
5827,Occ,rand,1,0.886,0.098,88.600,88.600,0.886,89.4737,0.16
5827,Occ,rand,2,0.886,0.073,91.200,88.600,0.899,90.7895,0.14
5827,Occ,rand,3,0.893,0.167,78.100,89.300,0.833,85.7143,0.14
5827,Occ,rand,4,0.889,0.146,84.200,88.900,0.865,87.013,0.17
5827,Occ,rand,5,0.906,0.095,87.900,90.600,0.892,90.5405,0.15
5827,Freq,rand,1,0.857,0.073,90.900,85.700,0.882,89.4737,0.15
5827,Freq,rand,2,0.886,0.073,91.200,88.600,0.899,90.7895,0.14
5827,Freq,rand,3,0.893,0.143,80.600,89.300,0.847,87.1429,0.17
5827,Freq,rand,4,0.833,0.122,85.700,83.300,0.845,85.7143,0.14
5827,Freq,rand,5,0.844,0.143,81.800,84.400,0.831,85.1351,0.15
7421,Occ,rand,1,0.886,0.073,91.200,88.600,0.899,90.7895,0.14
7421,Occ,rand,2,0.886,0.049,93.900,88.600,0.912,92.1053,0.16
7421,Occ,rand,3,0.893,0.119,83.300,89.300,0.862,88.5714,0.16
7421,Occ,rand,4,0.861,0.122,86.100,86.100,0.861,87.013,0.14
7421,Occ,rand,5,0.906,0.071,90.600,90.600,0.906,91.8919,0.14
7421,Freq,rand,1,0.886,0.073,91.200,88.600,0.899,90.7895,0.15
7421,Freq,rand,2,0.857,0.049,93.800,85.700,0.896,90.7895,0.14
7421,Freq,rand,3,0.893,0.119,83.300,89.300,0.862,88.5714,0.14
7421,Freq,rand,4,0.778,0.122,84.800,77.800,0.812,83.1169,0.14
7421,Freq,rand,5,0.875,0.048,93.300,87.500,0.903,91.8919,0.15
9876,Occ,rand,1,0.914,0.073,91.400,91.400,0.914,92.1053,0.14
9876,Occ,rand,2,0.886,0.073,91.200,88.600,0.899,90.7895,0.15
9876,Occ,rand,3,0.893,0.167,78.100,89.300,0.833,85.7143,0.15
9876,Occ,rand,4,0.944,0.098,89.500,94.400,0.919,92.2078,0.15
9876,Occ,rand,5,0.844,0.048,93.100,84.400,0.885,90.5405,0.14
9876,Freq,rand,1,0.857,0.098,88.200,85.700,0.87,88.1579,0.14
9876,Freq,rand,2,0.857,0.049,93.800,85.700,0.896,90.7895,0.14
9876,Freq,rand,3,0.893,0.119,83.300,89.300,0.862,88.5714,0.16
9876,Freq,rand,4,0.806,0.122,85.300,80.600,0.829,84.4156,0.14
9876,Freq,rand,5,0.875,0.143,82.400,87.500,0.848,86.4865,0.15
1234,Occ,pw,1,0.514,0,100,51.400,0.679,76.3158,0.14
1234,Occ,pw,2,0.851,0.426,66.700,85.100,0.748,71.2766,0.14
1234,Occ,pw,3,0.696,0.561,33.300,69.600,0.451,51.25,0.14
1234,Occ,pw,4,0.548,0.146,70.800,54.800,0.618,73.4177,0.14
1234,Occ,pw,5,0.196,0,100,19.600,0.328,40.7895,0.15
1234,Freq,pw,1,0.486,0.128,78.300,48.600,0.6,68.4211,0.17
1234,Freq,pw,2,0.298,0.851,25.900,29.800,0.277,22.3404,0.15
1234,Freq,pw,3,0.696,0.456,38.100,69.600,0.492,58.75,0.21
1234,Freq,pw,4,0.903,0.208,73.700,90.300,0.812,83.5443,0.16
1234,Freq,pw,5,0.232,0.25,72.200,23.200,0.351,36.8421,0.19
3252,Occ,pw,1,0.432,0.077,84.200,43.200,0.571,68.4211,0.15
3252,Occ,pw,2,0.277,0.553,33.300,27.700,0.302,36.1702,0.14
3252,Occ,pw,3,0.261,0.351,23.100,26.100,0.245,53.75,0.14
3252,Occ,pw,4,0.581,0.083,81.800,58.100,0.679,78.481,0.14
3252,Occ,pw,5,0.179,0.1,83.300,17.900,0.294,36.8421,0.15
3252,Freq,pw,1,0.622,0.051,92.00,62.200,0.742,78.9474,0.17
3252,Freq,pw,2,0.234,0.936,20.0,23.400,0.216,14.8936,0.13
3252,Freq,pw,3,0.783,0.421,42.900,78.300,0.554,63.75,0.21
3252,Freq,pw,4,0.806,0.25,67.600,80.600,0.735,77.2152,0.17
3252,Freq,pw,5,0.268,0.15,83.300,26.800,0.405,42.1053,0.18
5827,Occ,pw,1,0.297,0,100,29.700,0.458,65.7895,0.14
5827,Occ,pw,2,0.128,0.809,13.600,12.800,0.132,15.9574,0.14
5827,Occ,pw,3,0.261,0.316,25.00,26.100,0.255,56.25,0.14
5827,Occ,pw,4,0.355,0.188,55.00,35.500,0.431,63.2911,0.14
5827,Occ,pw,5,0.25,0,100,25.00,0.4,44.7368,0.14
5827,Freq,pw,1,0.568,0.103,84.00,56.800,0.677,73.6842,0.18
5827,Freq,pw,2,0.851,0.915,48.200,85.100,0.615,46.8085,0.14
5827,Freq,pw,3,0.652,0.456,36.600,65.200,0.469,57.5,0.22
5827,Freq,pw,4,0.742,0.063,88.500,74.200,0.807,86.0759,0.17
5827,Freq,pw,5,0.304,0.35,70.800,30.400,0.425,39.4737,0.19
7421,Occ,pw,1,0.432,0.026,94.100,43.200,0.593,71.0526,0.14
7421,Occ,pw,2,0.936,0.596,61.100,93.600,0.739,67.0213,0.14
7421,Occ,pw,3,0.565,0.439,34.200,56.500,0.426,56.25,0.14
7421,Occ,pw,4,0.581,0.063,85.700,58.100,0.692,79.7468,0.17
7421,Occ,pw,5,0.286,0.05,94.100,28.600,0.438,46.0526,0.15
7421,Freq,pw,1,0.514,0.077,86.400,51.400,0.644,72.3684,0.18
7421,Freq,pw,2,0.809,0.787,50.700,80.900,0.623,51.0638,0.14
7421,Freq,pw,3,0.478,0.509,27.500,47.800,0.349,48.75,0.23
