seed,alg,strat,split,tprate,fprate,precision,recall,fscore,acc,time
1234,Occ,owasp,1,0.983,0.017,98.300,98.300,0.983,98.3193,0.00010
1234,Occ,owasp,2,0.97,0.021,97.900,97.00,0.974,97.4737,0.00010
1234,Occ,owasp,3,0.979,0.042,95.800,97.900,0.968,96.8421,0.00010
1234,Occ,owasp,4,0.979,0.013,98.700,97.900,0.983,98.3158,0.00010
1234,Occ,owasp,5,0.966,0.055,94.600,96.600,0.956,95.5789,0.00010
1234,Freq,owasp,1,0.97,0.029,97.00,97.00,0.97,97.0588,0.00013
1234,Freq,owasp,2,0.979,0.025,97.500,97.900,0.977,97.6842,0.00010
1234,Freq,owasp,3,0.987,0.029,97.100,98.700,0.979,97.8947,0.00012
1234,Freq,owasp,4,0.979,0.033,96.600,97.900,0.973,97.2632,0.00008
1234,Freq,owasp,5,0.97,0.034,96.600,97.00,0.968,96.8421,0.00010
1234,Occ,rand,1,0.943,0.098,89.200,94.300,0.917,92.1053,0.00030
1234,Occ,rand,2,0.8,0.195,77.800,80.0,0.789,80.2632,0.00030
1234,Occ,rand,3,0.929,0.286,68.400,92.900,0.788,80,0.00032
1234,Occ,rand,4,0.917,0.317,71.700,91.700,0.805,79.2208,0.00030
1234,Occ,rand,5,0.813,0.214,74.300,81.300,0.776,79.7297,0.00030
1234,Freq,rand,1,0.914,0.098,88.900,91.400,0.901,90.7895,0.00033
1234,Freq,rand,2,0.829,0.098,87.900,82.900,0.853,86.8421,0.00035
1234,Freq,rand,3,0.821,0.095,85.200,82.100,0.836,87.1429,0.00035
1234,Freq,rand,4,0.861,0.195,79.500,86.100,0.827,83.1169,0.00028
1234,Freq,rand,5,0.844,0.071,90.0,84.400,0.871,89.1892,0.00035
1234,Occ,pw,1,0.27,0.615,29.400,27.00,0.282,32.8947,0.00027
1234,Occ,pw,2,0.064,0.106,37.500,6.400,0.109,47.8723,0.00027
1234,Occ,pw,3,0.957,0.667,36.700,95.700,0.53,51.25,0.00030
1234,Occ,pw,4,0.516,0.375,47.100,51.600,0.492,58.2278,0.00028
1234,Occ,pw,5,0.339,0.25,79.200,33.900,0.475,44.7368,0.00030
1234,Freq,pw,1,0.351,0.103,76.500,35.100,0.481,63.1579,0.00040
1234,Freq,pw,2,0.681,0.766,47.100,68.100,0.557,45.7447,0.00033
1234,Freq,pw,3,0.478,0.474,28.900,47.800,0.361,51.25,0.00037
1234,Freq,pw,4,0.742,0.25,65.700,74.200,0.697,74.6835,0.00037
1234,Freq,pw,5,0.339,0.2,82.600,33.900,0.481,46.0526,0.00037
3252,Occ,owasp,1,0.983,0.017,98.300,98.300,0.983,98.3193,0.00010
3252,Occ,owasp,2,0.97,0.021,97.900,97.00,0.974,97.4737,0.00010
3252,Occ,owasp,3,0.979,0.042,95.800,97.900,0.968,96.8421,0.00010
3252,Occ,owasp,4,0.979,0.013,98.700,97.900,0.983,98.3158,0.00010
3252,Occ,owasp,5,0.966,0.055,94.600,96.600,0.956,95.5789,0.00010
3252,Freq,owasp,1,0.97,0.029,97.00,97.00,0.97,97.0588,0.00008
3252,Freq,owasp,2,0.979,0.025,97.500,97.900,0.977,97.6842,0.00008
3252,Freq,owasp,3,0.987,0.029,97.100,98.700,0.979,97.8947,0.00012
3252,Freq,owasp,4,0.979,0.033,96.600,97.900,0.973,97.2632,0.00008
3252,Freq,owasp,5,0.97,0.034,96.600,97.00,0.968,96.8421,0.00012
3252,Occ,rand,1,0.943,0.098,89.200,94.300,0.917,92.1053,0.00028
3252,Occ,rand,2,0.8,0.195,77.800,80.0,0.789,80.2632,0.00028
3252,Occ,rand,3,0.929,0.286,68.400,92.900,0.788,80,0.00028
3252,Occ,rand,4,0.917,0.317,71.700,91.700,0.805,79.2208,0.00027
3252,Occ,rand,5,0.813,0.214,74.300,81.300,0.776,79.7297,0.00030
3252,Freq,rand,1,0.914,0.098,88.900,91.400,0.901,90.7895,0.00032
3252,Freq,rand,2,0.829,0.098,87.900,82.900,0.853,86.8421,0.00032
3252,Freq,rand,3,0.821,0.095,85.200,82.100,0.836,87.1429,0.00033
3252,Freq,rand,4,0.861,0.195,79.500,86.100,0.827,83.1169,0.00028
3252,Freq,rand,5,0.844,0.071,90.0,84.400,0.871,89.1892,0.00035
3252,Occ,pw,1,0.27,0.615,29.400,27.00,0.282,32.8947,0.00027
3252,Occ,pw,2,0.064,0.106,37.500,6.400,0.109,47.8723,0.00025
3252,Occ,pw,3,0.957,0.667,36.700,95.700,0.53,51.25,0.00027
3252,Occ,pw,4,0.516,0.375,47.100,51.600,0.492,58.2278,0.00027
3252,Occ,pw,5,0.339,0.25,79.200,33.900,0.475,44.7368,0.00027
3252,Freq,pw,1,0.351,0.103,76.500,35.100,0.481,63.1579,0.00033
3252,Freq,pw,2,0.681,0.766,47.100,68.100,0.557,45.7447,0.00032
3252,Freq,pw,3,0.478,0.474,28.900,47.800,0.361,51.25,0.00035
3252,Freq,pw,4,0.742,0.25,65.700,74.200,0.697,74.6835,0.00030
3252,Freq,pw,5,0.339,0.2,82.600,33.900,0.481,46.0526,0.00033
