@relation rw-all

@attribute rname {PATH_TRAVERSAL_IN,CRLF_INJECTION_LOGS,XSS_SERVLET,XXE_DOCUMENT,PATH_TRAVERSAL_OUT,HTTPONLY_COOKIE,UNVALIDATED_REDIRECT,WEAK_TRUST_MANAGER,WEAK_HOSTNAME_VERIFIER,UNENCRYPTED_SOCKET,HARD_CODE_PASSWORD,COMMAND_INJECTION,SQL_INJECTION_JDBC,XXE_SAXPARSER,XXE_XMLREADER,INSECURE_COOKIE,HTTP_RESPONSE_SPLITTING}
@attribute sinkline numeric
@attribute sinkIdentifier {File,Logger.info,PrintWriter.write,FileInputStream,DocumentBuilder.parse,Log.debug,FileOutputStream,Logger.debug,HttpServletResponse.sendError,Logger.error,null,javax.servlet.http.HttpServletResponse.sendRedirect,Logger.warning,Logger.severe,FileReader,localhost,remotehost,FileWriter,Runtime.exec,Statement.executeQuery,Connection.prepareStatement,Statement.addBatch,Statement.execute,Statement.executeUpdate,Logger.warn,SAXParser.parse,XMLReader.parse,Logger.log,HttpServletResponse.setHeader,ProcessBuilder.command,Connection.nativeSQL,PrintWriter.println}
@attribute witnessLenght numeric
@attribute numClassesInvolved numeric
@attribute rank numeric
@attribute priority numeric
@attribute numBugs {null,1,2,3,10,4,6,5,21,17,9}
@attribute functions numeric
@attribute conditions numeric
@attribute time numeric
@attribute label {falsepositive,truepositive}

@data
PATH_TRAVERSAL_IN,53,File,1,1,7,2,null,2,0,0,falsepositive
CRLF_INJECTION_LOGS,355,Logger.info,82,31,7,2,1,40,1,0,falsepositive
CRLF_INJECTION_LOGS,355,Logger.info,82,31,7,2,1,40,1,0,falsepositive
CRLF_INJECTION_LOGS,355,Logger.info,82,31,7,2,1,40,1,0,falsepositive
PATH_TRAVERSAL_IN,95,File,1,1,7,2,null,3,0,0,falsepositive
PATH_TRAVERSAL_IN,95,File,1,1,7,2,null,3,0,0,falsepositive
PATH_TRAVERSAL_IN,96,File,1,1,7,2,null,2,0,0,falsepositive
PATH_TRAVERSAL_IN,96,File,1,1,7,2,null,2,0,0,falsepositive
PATH_TRAVERSAL_IN,134,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,134,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,135,File,2,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,135,File,2,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,152,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,152,File,1,1,7,2,null,1,0,0,falsepositive
PATH_TRAVERSAL_IN,153,File,2,1,7,2,null,3,0,0,falsepositive
PATH_TRAVERSAL_IN,153,File,2,1,7,2,null,3,0,0,falsepositive
