alg,seed,strat,split,tprate,fprate,precision,recall,fscore,acc,time
1234,NaiveBayes,owasp,1,0.68,0.42,61.30,68.10,0.65,62.95,0.20
1234,NaiveBayes,owasp,2,0.54,0.42,56.10,54.20,0.55,56.12,0.20
1234,NaiveBayes,owasp,3,0.60,0.43,57.60,59.60,0.59,58.23,0.20
1234,NaiveBayes,owasp,4,0.61,0.39,60.50,61.30,0.61,60.97,0.20
1234,NaiveBayes,owasp,5,0.65,0.44,59.70,65.00,0.62,60.55,0.20
1234,Logistic,owasp,1,0.82,0.54,59.80,81.70,0.69,63.79,0.35
1234,Logistic,owasp,2,0.79,0.62,55.90,78.80,0.65,58.44,0.36
1234,Logistic,owasp,3,0.78,0.54,58.50,77.90,0.67,61.60,0.36
1234,Logistic,owasp,4,0.77,0.53,59.10,77.40,0.67,62.24,0.37
1234,Logistic,owasp,5,0.79,0.59,57.40,78.90,0.66,60.13,0.37
1234,MultilayerPerceptron,owasp,1,0.86,0.37,69.30,85.50,0.77,74.11,8.53
1234,MultilayerPerceptron,owasp,2,0.89,0.40,69.00,89.40,0.78,74.68,8.53
1234,MultilayerPerceptron,owasp,3,0.93,0.49,65.00,93.20,0.77,71.73,8.62
1234,MultilayerPerceptron,owasp,4,0.79,0.38,67.10,79.10,0.73,70.46,8.58
1234,MultilayerPerceptron,owasp,5,0.88,0.44,67.00,88.20,0.76,72.36,8.60
1234,SMO,owasp,1,0.94,0.64,59.00,93.60,0.72,64.63,0.74
1234,SMO,owasp,2,0.94,0.70,57.20,94.10,0.71,62.03,0.77
1234,SMO,owasp,3,0.86,0.60,58.40,85.50,0.69,62.66,0.78
1234,SMO,owasp,4,0.93,0.61,60.20,93.20,0.73,66.03,1.06
1234,SMO,owasp,5,0.81,0.61,57.00,80.60,0.67,59.92,0.88
1234,KStar,owasp,1,0.86,0.30,73.60,85.50,0.79,77.68,0.22
1234,KStar,owasp,2,0.90,0.30,74.60,89.80,0.82,79.75,0.21
1234,KStar,owasp,3,0.85,0.31,72.60,84.70,0.78,76.58,0.22
1234,KStar,owasp,4,0.80,0.22,78.40,80.40,0.79,79.32,0.21
1234,KStar,owasp,5,0.81,0.30,72.80,81.40,0.77,75.53,0.22
1234,OneR,owasp,1,0.57,0.15,78.20,56.60,0.66,70.74,0.20
1234,OneR,owasp,2,0.60,0.21,73.40,59.70,0.66,69.20,0.20
1234,OneR,owasp,3,0.55,0.16,76.80,54.90,0.64,69.41,0.20
1234,OneR,owasp,4,0.51,0.19,72.60,50.60,0.60,66.03,0.20
1234,OneR,owasp,5,0.62,0.228,73.00,61.60,0.668,69.41,0.20
1234,ZeroR,owasp,1,0.00,0,0.00,0.00,0,50.53,0.19
1234,ZeroR,owasp,2,0.00,0.00,0.00,0.00,0,50.21,0.19
1234,ZeroR,owasp,3,0.00,0.00,0.00,0.00,0,50.42,0.20
1234,ZeroR,owasp,4,0.00,0,0.00,0.00,0,50.42,0.18
1234,ZeroR,owasp,5,0.00,0.00,0.00,0.00,0,50.00,0.19
1234,J48,owasp,1,0.89,0.28,75.50,89.40,0.82,80.42,0.31
1234,J48,owasp,2,0.92,0.32,73.90,92.40,0.82,79.96,0.31
1234,J48,owasp,3,0.89,0.29,75.10,88.50,0.81,79.75,0.30
1234,J48,owasp,4,0.83,0.23,78.30,83.00,0.81,80.17,0.30
1234,J48,owasp,5,0.86,0.30,74.50,86.10,0.80,78.27,0.32
1234,RandomForest,owasp,1,0.88,0.31,73.60,87.70,0.80,78.32,0.63
1234,RandomForest,owasp,2,0.89,0.32,73.50,89.40,0.81,78.69,0.63
1234,RandomForest,owasp,3,0.86,0.28,75.00,85.50,0.80,78.69,0.63
1234,RandomForest,owasp,4,0.83,0.22,79.00,83.40,0.81,80.80,0.63
1234,RandomForest,owasp,5,0.81,0.31,72.60,81.40,0.77,75.32,0.64
3252,NaiveBayes,owasp,1,0.68,0.42,61.30,68.10,0.65,62.95,0.21
3252,NaiveBayes,owasp,2,0.54,0.42,56.10,54.20,0.55,56.12,0.21
3252,NaiveBayes,owasp,3,0.60,0.43,57.60,59.60,0.59,58.23,0.21
3252,NaiveBayes,owasp,4,0.61,0.39,60.50,61.30,0.61,60.97,0.22
3252,NaiveBayes,owasp,5,0.65,0.44,59.70,65.00,0.62,60.55,0.21
3252,Logistic,owasp,1,0.82,0.54,59.80,81.70,0.69,63.79,0.36
3252,Logistic,owasp,2,0.79,0.62,55.90,78.80,0.65,58.44,0.39
3252,Logistic,owasp,3,0.78,0.54,58.50,77.90,0.67,61.60,0.39
3252,Logistic,owasp,4,0.77,0.53,59.10,77.40,0.67,62.24,0.37
3252,Logistic,owasp,5,0.79,0.59,57.40,78.90,0.66,60.13,0.37
3252,MultilayerPerceptron,owasp,1,0.73,0.23,75.30,72.80,0.74,74.74,8.46
3252,MultilayerPerceptron,owasp,2,0.60,0.17,77.90,59.70,0.68,71.52,8.96
3252,MultilayerPerceptron,owasp,3,0.88,0.39,68.70,87.70,0.77,74.05,8.77
