seed,alg,strat,split,tprate,fprate,precision,recall,fscore,acc,time
1234,NaiveBayes,rand,1,0.714,0.200,75.800,71.400,0.735,76.000,0.00017
1234,NaiveBayes,rand,2,0.629,0.275,66.700,62.900,0.647,68.000,0.00017
1234,NaiveBayes,rand,3,0.714,0.415,54.100,71.400,0.615,63.768,0.00017
1234,NaiveBayes,rand,4,0.833,0.775,49.200,83.300,0.619,51.316,0.00017
1234,NaiveBayes,rand,5,0.594,0.220,67.900,59.400,0.633,69.863,0.00017
1234,Logistic,rand,1,0.571,0.175,74.100,57.100,0.645,70.667,0.00017
1234,Logistic,rand,2,0.686,0.250,70.600,68.600,0.696,72.000,0.00017
1234,Logistic,rand,3,0.607,0.122,77.300,60.700,0.680,76.812,0.00017
1234,Logistic,rand,4,0.639,0.200,74.200,63.900,0.687,72.368,0.00017
1234,Logistic,rand,5,0.656,0.098,84.000,65.600,0.737,79.452,0.00017
1234,MultilayerPerceptron,rand,1,0.714,0.075,89.300,71.400,0.794,82.667,0.00033
1234,MultilayerPerceptron,rand,2,0.829,0.200,78.400,82.900,0.806,81.333,0.00033
1234,MultilayerPerceptron,rand,3,0.714,0.049,90.900,71.400,0.800,85.507,0.00033
1234,MultilayerPerceptron,rand,4,0.694,0.125,83.300,69.400,0.758,78.947,0.00033
1234,MultilayerPerceptron,rand,5,0.750,0.220,72.700,75.000,0.738,76.712,0.00017
1234,SMO,rand,1,0.629,0.125,81.500,62.900,0.710,76.000,0.00017
1234,SMO,rand,2,0.714,0.100,86.200,71.400,0.781,81.333,0.00017
1234,SMO,rand,3,0.643,0.146,75.000,64.300,0.692,76.812,0.00033
1234,SMO,rand,4,0.667,0.125,82.800,66.700,0.738,77.632,0.00017
1234,SMO,rand,5,0.563,0.122,78.300,56.300,0.655,73.973,0.00033
1234,KStar,rand,1,0.800,0.100,87.500,80.000,0.836,85.333,0.00567
1234,KStar,rand,2,0.829,0.150,82.900,82.900,0.829,84.000,0.00650
1234,KStar,rand,3,0.750,0.122,80.800,75.000,0.778,82.609,0.00600
1234,KStar,rand,4,0.861,0.075,91.200,86.100,0.886,89.474,0.00633
1234,KStar,rand,5,0.750,0.098,85.700,75.000,0.800,83.562,0.00583
1234,OneR,rand,1,0.429,0.050,88.200,42.900,0.577,70.667,0.00017
1234,OneR,rand,2,0.486,0.050,89.500,48.600,0.630,73.333,0.00017
1234,OneR,rand,3,0.571,0.024,94.100,57.100,0.711,81.159,0.00017
1234,OneR,rand,4,0.528,0.050,90.500,52.800,0.667,75.000,0.00017
1234,OneR,rand,5,0.344,0.098,73.300,34.400,0.468,65.753,0.00017
1234,ZeroR,rand,1,0.000,0.000,0.000,0.000,0.000,53.333,0.00017
1234,ZeroR,rand,2,0.000,0.000,0.000,0.000,0.000,53.333,0.00017
1234,ZeroR,rand,3,1.000,1.000,40.600,100.000,0.577,40.580,0.00017
1234,ZeroR,rand,4,0.000,0.000,0.000,0.000,0.000,52.632,0.00017
1234,ZeroR,rand,5,0.000,0.000,0.000,0.000,0.000,56.164,0.00017
1234,J48,rand,1,0.743,0.125,83.900,74.300,0.788,81.333,0.00017
1234,J48,rand,2,0.800,0.150,82.400,80.000,0.812,82.667,0.00017
1234,J48,rand,3,0.786,0.073,88.000,78.600,0.830,86.957,0.00017
1234,J48,rand,4,0.639,0.125,82.100,63.900,0.719,76.316,0.00017
