"","seed","alg","strat","split","epoch","loss","acc","precision","recall","f1","speed","time"
"1",7124,"Embed","owasp",1,567,0.38,80,78,84,0.81,1110,52.15
"2",7124,"Embed","owasp",2,932,0.2,91,94,86,0.9,1194.67,85.57
"3",7124,"Embed","owasp",3,587,0.4,83,76,96,0.85,1129.11,53.68
"4",7124,"Embed","owasp",4,161,0.5,74,85,59,0.69,1184.3,14.91
"5",7124,"Embed","owasp",5,1258,0.29,86,95,76,0.84,1089.5,115.67
"6",7124,"KOT","owasp",1,432,0.48,77,80,71,0.75,1131.13,39.63
"7",7124,"KOT","owasp",2,394,0.45,78,83,69,0.75,1193.34,35.96
"8",7124,"KOT","owasp",3,198,0.52,73,67,89,0.76,1183,18.01
"9",7124,"KOT","owasp",4,238,0.49,75,82,63,0.71,1199.38,21.81
"10",7124,"KOT","owasp",5,561,0.47,76,77,74,0.76,1148.9,50.92
"11",7124,"KOTI","owasp",1,251,0.46,77,75,80,0.77,1185.22,22.99
"12",7124,"KOTI","owasp",2,382,0.42,79,83,72,0.77,1147.54,34.79
"13",7124,"KOTI","owasp",3,245,0.42,79,84,72,0.78,1144.83,22.48
"14",7124,"KOTI","owasp",4,184,0.42,80,77,85,0.8,1214.29,16.99
"15",7124,"KOTI","owasp",5,416,0.45,77,75,81,0.78,1168.98,37.63
"16",9876,"KOT","owasp",1,247,0.49,75,76,71,0.74,1124.4,22.57
"17",9876,"KOT","owasp",2,469,0.45,79,84,70,0.77,1123.37,42.85
"18",9876,"KOT","owasp",3,360,0.45,77,74,83,0.78,1089.52,32.74
"19",9876,"KOT","owasp",4,191,0.48,75,79,68,0.73,1199.57,17.67
"20",9876,"KOT","owasp",5,205,0.5,73,75,69,0.72,1187.79,18.87
"21",9876,"KOTI","owasp",1,191,0.5,76,73,83,0.78,1128.06,17.91
"22",9876,"KOTI","owasp",2,189,0.45,80,83,75,0.79,1171.94,17.6
"23",9876,"KOTI","owasp",3,183,0.45,78,74,85,0.79,894.95,17.11
"24",9876,"KOTI","owasp",4,309,0.5,77,85,64,0.73,1130,29.37
"25",9876,"KOTI","owasp",5,184,0.52,75,80,68,0.73,1040.08,17.61
