seed,alg,strat,split,epoch,loss,acc,precision,recall,f1,speed,time
0,KOT,pw,1,22,3.76,73.333,66.00,91.00,0.76,7.32,2855.08
0,KOT,pw,2,1,26.93,63.441,60.0,81.00,0.69,5.34,100.7
0,KOT,pw,3,2,13.81,69.62,33.00,4.00,0.08,17.22,262.12
0,KOT,pw,4,6,68.46,61.538,0,3.00,0,6.48,705.8
0,KOT,pw,5,32,8.32,76,78.00,95.00,0.86,6.63,4145.66
0,KOT,rand,1,115,0.49,85.333,80.0,94.00,0.86,8.38,14267.86
0,KOT,rand,2,130,0.49,78.667,71.00,91.00,0.8,7.8,17438.2
0,KOT,rand,3,128,1.75,75.362,72.00,64.00,0.68,6.07,16763.97
0,KOT,rand,4,127,0.56,77.632,71.00,90.0,0.79,6.37,16122.26
0,KOT,rand,5,109,3.27,73.973,81.00,53.00,0.64,7.28,14351.8
0,KOTI,pw,1,38,19.73,68,68.00,65.00,0.66,5.87,5808.18
0,KOTI,pw,2,91,6.12,75.269,77.00,72.00,0.74,4.6,11807.81
0,KOTI,pw,3,50,1.71,67.089,40.0,26.00,0.32,15.49,8056.35
0,KOTI,pw,4,7,76.9,62.821,63.00,16.00,0.26,5.5,951.9
0,KOTI,pw,5,124,28.57,81.333,85.00,91.00,0.88,6.02,17978.2
0,KOTI,rand,1,34,2.86,76,74.00,80.0,0.76,7.92,4319.15
0,KOTI,rand,2,77,3.64,84,87.00,77.00,0.82,6.93,10071.23
0,KOTI,rand,3,134,6.51,84.058,76.00,89.00,0.82,6.21,17719.91
0,KOTI,rand,4,116,1.01,84.211,80.0,89.00,0.84,6.38,14727.34
0,KOTI,rand,5,135,7,78.082,86.00,60.0,0.71,7.32,17787.93
0,Embed,pw,1,91,0.53,81.333,82.00,77.00,0.8,5.91,14110.44
0,Embed,pw,2,79,0.35,84.946,89.00,81.00,0.84,4.11,10542.57
0,Embed,pw,3,2,3.1,72.152,100,4.00,0.08,15.76,298.49
0,Embed,pw,5,3,7.14,74.667,75.00,100,0.85,6.5,425.85
0,Embed,rand,1,55,0.61,72,86.00,49.00,0.61,5.35,10846.73
0,Embed,rand,2,79,0.52,74.667,78.00,63.00,0.7,4.87,15608.2
0,Embed,rand,3,92,0.89,75.362,73.00,64.00,0.67,4.57,18178.14
0,Embed,rand,4,94,0.53,75,77.00,70.0,0.72,4.81,18151.05
0,Embed,rand,5,86,0.63,68.493,69.00,52.00,0.59,4.31,16978.04
1,KOT,pw,1,2,0.54,74.667,75.00,72.00,0.73,19.55,1218.29
1,KOT,pw,2,1,0.34,88.172,90.0,87.00,0.88,11.57,8732.51
1,KOT,pw,3,1,10.68,68.354,0,0,0,46.16,515.32
1,KOT,pw,4,3,10.32,66.667,66.00,32.00,0.43,14.65,1472.64
1,KOT,pw,5,9,1.15,78.667,86.00,86.00,0.86,16.18,4816.85
1,KOTI,pw,1,4,0.62,80,76.00,86.00,0.8,17.92,2191.68
1,KOTI,pw,2,2,24.01,80.645,89.00,70.0,0.79,14.09,87.59
1,KOTI,pw,3,1,2.69,70.886,0,0,0,41.81,659.19
1,KOTI,pw,4,5,8.86,58.974,46.00,16.00,0.24,14.68,2554.24
1,KOTI,pw,5,1,48.22,73.333,75.00,96.00,0.84,17.89,45.85
1,Embed,pw,1,2,1.34,82.667,97.00,70.0,0.8,16.02,12744.68
1,Embed,pw,2,1,0.47,82.796,86.00,79.00,0.82,10.59,6026.88
1,Embed,pw,3,1,12.14,70.886,0,0,0,37.64,52.14
1,Embed,pw,4,1,23.92,60.256,0,0,0,14.8,45.42
1,Embed,pw,5,1,4.37,74.667,75.00,100,0.85,18.11,46.41
1,KOT,rand,1,2,0.68,90.667,89.00,92.00,0.9,16.87,14043.43
1,KOT,rand,2,2,0.89,90.667,92.00,89.00,0.9,16.78,15854.51
1,KOT,rand,3,2,7.42,79.71,72.00,82.00,0.77,13.64,11612.03
1,KOT,rand,4,2,1.08,84.211,78.00,95.00,0.85,15.01,13723.42
1,KOT,rand,5,3,1.52,86.301,80.0,86.00,0.83,16.64,17678.65
1,KOTI,rand,1,1,0.52,89.333,91.00,86.00,0.88,18.57,9297.33
1,KOTI,rand,2,1,0.38,94.667,97.00,91.00,0.94,16.31,7826.42
1,KOTI,rand,3,2,22.93,84.058,84.00,75.00,0.79,13.58,12252.08
1,KOTI,rand,4,3,1.63,84.211,83.00,83.00,0.83,15.07,17908.96
1,KOTI,rand,5,2,1.25,86.301,86.00,82.00,0.84,16.86,13461.85
1,Embed,rand,1,2,0.73,77.333,77.00,74.00,0.75,17.98,13882.83
1,Embed,rand,2,2,0.44,85.333,87.00,80.0,0.83,16.04,16230.11
1,Embed,rand,3,1,0.95,79.71,77.00,71.00,0.74,14.7,6443.39
1,Embed,rand,4,3,0.71,92.105,90.0,95.00,0.92,14.78,16125.92
1,Embed,rand,5,2,0.43,82.192,78.00,82.00,0.79,16.36,14534.17
1234,KOT,pw,1,55,0.58,82.667,87.00,76.00,0.81,17.8,2838.77
1234,KOT,pw,2,68,0.43,91.398,90.0,93.00,0.92,11.97,3026.95
1234,KOT,pw,3,21,18.68,70.886,50.0,9.00,0.15,45.89,1075.16
1234,KOT,pw,4,20,11,65.385,58.00,48.00,0.53,14.97,913.17
1234,KOT,pw,5,69,0.71,78.667,82.00,91.00,0.86,16.19,3487.42
1234,KOTI,pw,1,201,2.82,73.333,90.0,51.00,0.65,17.8,10931.42
1234,KOTI,pw,2,32,0.43,90.323,85.00,98.00,0.91,12.68,1401.38
1234,KOTI,pw,3,6,2.63,64.557,14.00,4.00,0.07,44.91,305.34
1234,KOTI,pw,4,8,5.37,73.077,82.00,42.00,0.55,16.89,355.55
1234,KOTI,pw,5,118,2.19,72,80.0,84.00,0.82,16.48,6091.42
1234,Embed,pw,1,172,0.58,86.667,91.00,83.00,0.86,17.37,9220.15
3252,KOT,pw,2,93,1.48,83.871,88.00,79.00,0.83,11.09,4347.8
3252,KOT,pw,3,4,9.19,69.62,0,0,0,46.99,202.72
3252,KOT,pw,4,117,0.92,70.513,63.00,65.00,0.64,13.01,5724.2
3252,KOT,pw,5,10,27.4,73.333,86.00,77.00,0.81,17.86,466.18
3252,KOTI,pw,1,50,11.19,78.667,90.0,65.00,0.75,18.85,2489.87
3252,KOTI,pw,2,31,31.26,64.516,60.0,87.00,0.71,12.23,1410.3
3252,KOTI,pw,3,161,1.97,67.089,33.00,13.00,0.19,41.3,9143.63
3252,KOTI,pw,4,24,14.39,70.513,64.00,58.00,0.61,15.15,1122.72
3252,KOTI,pw,5,24,18.48,73.333,80.0,86.00,0.83,17.54,1152.4
3252,Embed,pw,1,110,0.57,81.333,87.00,74.00,0.79,18.28,5657.37
3252,Embed,pw,2,46,0.48,78.495,86.00,68.00,0.76,12.3,2092.29
3252,Embed,pw,3,233,0.66,68.354,47.00,65.00,0.55,33.57,13810.33
3252,Embed,pw,4,45,8.93,61.538,0,3.00,0,13.67,2157.23
3252,Embed,pw,5,1,13.75,74.667,75.00,100,0.85,16.88,46.49
3252,KOT,rand,1,254,0.67,85.333,80.0,91.00,0.85,19.57,13877.71
3252,KOT,rand,2,328,0.75,89.333,89.00,89.00,0.89,17.49,17944.68
3252,KOT,rand,3,118,1.18,82.609,90.0,64.00,0.74,12.85,6375.77
3252,KOT,rand,4,311,1.93,81.579,77.00,90.0,0.82,13.52,17790.98
3252,KOT,rand,5,81,0.48,80.822,84.00,68.00,0.75,14.78,4530.09
3252,KOTI,rand,1,144,0.39,88,86.00,89.00,0.87,17.14,8312.09
3252,KOTI,rand,2,173,0.52,90.667,91.00,88.00,0.9,17.84,9158.8
3252,KOTI,rand,3,217,4.65,84.058,79.00,82.00,0.81,14.41,11595.38
3252,KOTI,rand,4,181,0.48,89.474,91.00,86.00,0.89,15.52,9553.4
3252,KOTI,rand,5,215,0.46,86.301,85.00,80.0,0.83,16.61,11582.33
3252,Embed,rand,1,304,0.46,82.667,83.00,80.0,0.81,18.6,16707.98
3252,Embed,rand,2,245,0.49,82.667,87.00,74.00,0.8,15.42,13474.44
3252,Embed,rand,3,89,1.64,78.261,75.00,71.00,0.73,14.25,5018.62
3252,Embed,rand,4,298,1.54,90.789,89.00,92.00,0.9,14.79,15722.3
3252,Embed,rand,5,305,0.46,78.082,74.00,75.00,0.74,16,16712.37
5827,KOT,pw,2,123,0.4,88.172,84.00,93.00,0.89,11.14,95.49
5827,KOT,pw,3,3,20.68,65.823,33.00,17.00,0.23,50.24,2.55
5827,KOT,pw,4,220,6.76,70.513,60.0,77.00,0.68,12.97,187.5
5827,KOT,pw,5,172,31.89,77.333,91.00,77.00,0.83,15.35,150.38
5827,KOTI,pw,1,256,9.4,77.333,87.00,65.00,0.74,17.53,241.29
5827,KOTI,pw,2,3,5.52,72.043,72.00,75.00,0.73,14.01,2.24
