seed,alg,strat,split,epoch,loss,acc,precision,recall,f1,speed,time
1234,KOT,pw,1,255,7.26,36.00,39.00,50.0,0.44,16.87,234.76
1234,KOT,pw,2,268,0.87,87.00,81.00,98.00,0.89,11.61,210.42
1234,KOT,pw,3,221,2.12,37.00,27.00,70.0,0.39,40.87,205.9
1234,KOT,pw,4,220,3.92,53.00,42.00,32.00,0.36,13.94,184.22
1234,KOT,pw,5,269,9.91,40.0,71.00,34.00,0.46,14.26,240.87
1234,KOTI,pw,1,326,4.54,51.00,50.0,79.00,0.61,15.65,300.94
1234,KOTI,pw,2,232,1.24,77.00,80.0,75.00,0.77,11.52,182.74
1234,KOTI,pw,3,206,3,44.00,31.00,74.00,0.44,40.68,194.24
1234,KOTI,pw,4,208,15.5,38.00,31.00,45.00,0.37,13.99,174.45
1234,KOTI,pw,5,318,9.19,45.00,86.00,32.00,0.47,15.35,283.69
1234,Embed,pw,1,327,3.16,65.00,67.00,60.0,0.63,15.97,300.28
1234,Embed,pw,2,225,1.78,59.00,58.00,50.0,0.54,17.8,199.99
1,KOT,pw,2,375,7.93,26.00,33.00,45.00,0.38,10.44,300.1
1,KOT,pw,3,210,1.56,53.00,32.00,52.00,0.39,39.21,206.8
1,KOT,pw,4,231,7.28,55.00,46.00,78.00,0.58,12.51,201.11
1,KOT,pw,5,293,12.57,53.00,79.00,50.0,0.61,15.06,266.6
1,KOTI,pw,1,243,0.95,64.00,92.00,30.0,0.45,17.94,222.09
1,KOTI,pw,2,202,1.81,46.00,0.00,0,0.00,11.64,157.04
1,KOTI,pw,3,213,1.16,59.00,38.00,61.00,0.47,41.49,199.73
1,KOTI,pw,4,254,34.34,45.00,36.00,52.00,0.43,13.91,215
1,KOTI,pw,5,201,4.45,33.00,64.00,27.00,0.37,15.69,180.37
1,Embed,pw,1,320,1.15,63.00,68.00,46.00,0.55,16.43,300.38
1,Embed,pw,2,329,1.08,56.00,55.00,68.00,0.61,10.11,267.47
1,Embed,pw,3,201,0.75,58.00,32.00,39.00,0.35,40.14,193.36
1,Embed,pw,4,201,2.02,40.0,38.00,81.00,0.52,13.99,168.57
1,Embed,pw,5,201,2.93,49.00,71.00,55.00,0.62,15.63,175.32
1,KOT,rand,1,322,0.75,85.00,83.00,86.00,0.84,17.79,300.96
1,KOT,rand,2,316,1.06,81.00,79.00,83.00,0.81,17.18,300.98
1,KOT,rand,3,316,11.49,70.0,59.00,82.00,0.69,13.05,300.56
1,KOT,rand,4,337,1.78,80.0,72.00,95.00,0.82,14.85,300.07
1,KOT,rand,5,332,2.53,81.00,75.00,80.0,0.78,16.73,300.24
1,KOTI,rand,1,326,1.17,77.00,95.00,54.00,0.69,17.1,300.1
1,KOTI,rand,2,318,0.53,92.00,91.00,91.00,0.91,16.46,300.16
1,KOTI,rand,3,329,29.16,77.00,71.00,71.00,0.71,13.96,300.4
1,KOTI,rand,4,341,1.76,82.00,79.00,83.00,0.81,14.88,300.29
1,KOTI,rand,5,333,1.82,79.00,83.00,67.00,0.74,16.38,300.39
1,Embed,rand,1,324,0.79,76.00,74.00,74.00,0.74,18.09,300.06
1,Embed,rand,2,322,0.6,84.00,85.00,80.0,0.82,16.04,300.05
