data,split,embed,batchsize,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
lower-rw-pw,1,8,12,0,48.31,49.33,37,0,38,0,100.00,49.33,1,7.12,7.12,7.12
lower-rw-pw,1,8,12,0,52.00,50.67,0,38,0,37,0.00,0.00,2,7.12,14.24,14.24
lower-rw-pw,1,8,12,0,52.00,50.67,0,38,0,37,0.00,0.00,3,6.95,20.84,20.84
lower-rw-pw,1,8,12,0,52.00,50.67,0,38,0,37,0.00,0.00,4,6.82,27.29,27.29
lower-rw-pw,1,8,12,0,78.46,64.00,16,32,6,21,43.24,72.73,5,6.82,34.11,34.11
lower-rw-pw,1,8,12,0,71.08,53.33,37,3,35,0,100.00,51.39,6,6.77,34.11,40.62
lower-rw-pw,1,8,12,0,81.54,50.67,30,8,30,7,81.08,50.00,7,6.76,34.11,47.32
lower-rw-pw,1,8,12,0,87.08,54.67,35,6,32,2,94.59,52.24,8,6.74,34.11,53.92
lower-rw-pw,1,8,12,0,87.38,54.67,33,8,30,4,89.19,52.38,9,6.72,34.11,60.49
lower-rw-pw,1,8,12,0,88.00,52.00,33,6,32,4,89.19,50.77,10,6.72,34.11,67.21
lower-rw-pw,1,8,12,0,88.31,49.33,33,4,34,4,89.19,49.25,11,6.72,34.11,73.92
lower-rw-pw,1,8,12,0,88.92,49.33,33,4,34,4,89.19,49.25,12,6.72,34.11,80.59
lower-rw-pw,1,8,12,0,88.92,49.33,33,4,34,4,89.19,49.25,13,6.72,34.11,87.39
lower-rw-pw,1,8,12,0,88.62,48.00,31,5,33,6,83.78,48.44,14,6.70,34.11,93.77
lower-rw-pw,1,8,12,0,89.54,45.33,30,4,34,7,81.08,46.88,15,6.71,34.11,100.60
lower-rw-pw,1,8,12,0,88.92,52.00,28,11,27,9,75.68,50.91,16,6.70,34.11,107.17
lower-rw-pw,1,8,12,0,89.85,48.00,28,8,30,9,75.68,48.28,17,6.70,34.11,113.83
lower-rw-pw,1,8,12,0,90.15,48.00,28,8,30,9,75.68,48.28,18,6.69,34.11,120.50
lower-rw-pw,1,8,12,0,89.54,48.00,28,8,30,9,75.68,48.28,19,6.67,34.11,126.77
lower-rw-pw,1,8,12,0,90.46,46.67,28,7,31,9,75.68,47.46,20,6.66,34.11,133.21
lower-rw-pw,1,8,12,0,90.46,46.67,28,7,31,9,75.68,47.46,21,6.68,34.11,140.18
lower-rw-pw,1,8,12,0,90.15,46.67,28,7,31,9,75.68,47.46,22,6.67,34.11,146.83
lower-rw-pw,1,8,12,0,90.15,46.67,28,7,31,9,75.68,47.46,23,6.66,34.11,153.24
lower-rw-pw,1,8,12,0,88.00,49.33,28,9,29,9,75.68,49.12,24,6.66,34.11,159.84
lower-rw-pw,1,8,12,0,89.23,48.00,29,7,31,8,78.38,48.33,25,6.65,34.11,166.28
