dataset,model,split,splitID,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
rw,ANSed,pw,1,8,12,0,51.69,50.67,0,38,0,37,0.00,0.00,1,4.49,4.49,4.49
rw,ANSed,pw,1,8,12,0,64.00,50.67,0,38,0,37,0.00,0.00,2,4.31,8.62,8.62
rw,ANSed,pw,1,8,12,0,69.85,49.33,0,37,1,37,0.00,0.00,3,4.28,8.62,12.85
rw,ANSed,pw,1,8,12,0,80.62,54.67,35,6,32,2,94.59,52.24,4,4.31,17.25,17.25
rw,ANSed,pw,1,8,12,0,81.85,61.33,12,34,4,25,32.43,75.00,5,4.32,21.62,21.62
rw,ANSed,pw,1,8,12,0,78.46,65.33,31,18,20,6,83.78,60.78,6,4.32,25.94,25.94
rw,ANSed,pw,1,8,12,0,88.00,73.33,21,34,4,16,56.76,84.00,7,4.31,30.20,30.20
rw,ANSed,pw,1,8,12,0,87.69,69.33,29,23,15,8,78.38,65.91,8,4.29,30.20,34.30
rw,ANSed,pw,1,8,12,0,87.69,66.67,29,21,17,8,78.38,63.04,9,4.31,30.20,38.77
rw,ANSed,pw,1,8,12,0,89.23,69.33,29,23,15,8,78.38,65.91,10,4.31,30.20,43.13
rw,ANSed,pw,1,8,12,0,89.54,69.33,29,23,15,8,78.38,65.91,11,4.34,30.20,47.70
rw,ANSed,pw,1,8,12,0,89.54,70.67,29,24,14,8,78.38,67.44,12,4.35,30.20,52.24
rw,ANSed,pw,1,8,12,0,91.08,69.33,29,23,15,8,78.38,65.91,13,4.38,30.20,56.90
rw,ANSed,pw,1,8,12,0,91.08,69.33,29,23,15,8,78.38,65.91,14,4.37,30.20,61.15
rw,ANSed,pw,1,8,12,0,91.38,69.33,29,23,15,8,78.38,65.91,15,4.37,30.20,65.52
rw,ANSed,pw,1,8,12,0,91.38,74.67,25,31,7,12,67.57,78.12,16,4.37,69.92,69.92
rw,ANSed,pw,1,8,12,0,89.23,64.00,31,17,21,6,83.78,59.62,17,4.39,69.92,74.67
rw,ANSed,pw,1,8,12,0,91.38,65.33,31,18,20,6,83.78,60.78,18,4.40,69.92,79.14
rw,ANSed,pw,1,8,12,0,92.00,69.33,29,23,15,8,78.38,65.91,19,4.40,69.92,83.66
rw,ANSed,pw,1,8,12,0,91.69,74.67,24,32,6,13,64.86,80.00,20,4.40,88.08,88.08
rw,ANSed,pw,1,8,12,0,91.69,72.00,26,28,10,11,70.27,72.22,21,4.42,88.08,92.72
rw,ANSed,pw,1,8,12,0,91.69,70.67,27,26,12,10,72.97,69.23,22,4.41,88.08,97.12
