seed,prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
3252,ANS,owasp,1,8,12,0,99.95,99.16,233,238,2,2,99.15,99.15,252,0.17,38.15,42.16
3252,ANS,owasp,2,8,12,0,99.84,99.16,234,236,2,2,99.15,99.15,221,0.16,27.43,34.47
3252,ANS,owasp,3,8,12,0,99.68,99.58,235,237,2,0,100.00,99.16,181,0.18,27.04,32.00
3252,ANS,owasp,4,8,12,0,99.95,99.37,233,238,1,2,99.15,99.57,285,0.11,28.99,32.09
3252,ANS,owasp,5,8,12,0,99.68,99.79,236,237,0,1,99.58,100.00,216,0.12,20.11,25.85
3252,APS,owasp,1,8,12,0,99.89,99.16,233,238,2,2,99.15,99.15,237,0.17,34.87,39.97
3252,APS,owasp,2,8,12,0,99.68,98.52,230,237,1,6,97.46,99.57,267,0.16,36.08,41.94
3252,APS,owasp,3,8,12,0,99.58,99.58,233,239,0,2,99.15,100.00,195,0.17,29.02,33.46
3252,APS,owasp,4,8,12,0,99.26,98.95,232,237,2,3,98.72,99.15,131,0.12,11.08,15.64
3252,APS,owasp,5,8,12,0,99.95,99.16,234,236,1,3,98.73,99.57,260,0.12,27.70,30.95
3252,Ext,owasp,1,8,12,0,99.79,98.74,230,239,1,5,97.87,99.57,273,0.20,49.39,53.33
3252,Ext,owasp,2,8,12,0,99.84,100.00,236,238,0,0,100.00,100.00,348,0.20,64.22,69.33
3252,Ext,owasp,3,8,12,0,99.95,99.79,234,239,0,1,99.57,100.00,199,0.22,38.72,43.89
3252,Ext,owasp,4,8,12,0,99.26,99.58,234,238,1,1,99.57,99.57,196,0.15,25.01,30.28
3252,Ext,owasp,5,8,12,0,99.21,97.68,233,230,7,4,98.31,97.08,183,0.16,24.20,28.93
3252,Raw,owasp,1,8,12,0,99.89,99.79,234,240,0,1,99.57,100.00,257,0.17,37.79,43.05
3252,Raw,owasp,2,8,12,0,99.95,100.00,236,238,0,0,100.00,100.00,180,0.14,20.09,25.53
3252,Raw,owasp,3,8,12,0,100.00,99.79,234,239,0,1,99.57,100.00,246,0.17,38.66,42.08
3252,Raw,owasp,4,8,12,0,99.95,100.00,235,239,0,0,100.00,100.00,633,0.11,67.87,70.99
3252,Raw,owasp,5,8,12,0,99.89,100.00,237,237,0,0,100.00,100.00,272,0.12,29.67,32.66
