seed,prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
1234,APS,pw,1,8,12,0,51.69,50.67,0,38,0,37,0.00,0.00,1,4.63,4.63,4.63
1234,APS,pw,1,8,12,0,64.00,50.67,0,38,0,37,0.00,0.00,2,4.55,9.11,9.11
1234,APS,pw,1,8,12,0,69.85,49.33,0,37,1,37,0.00,0.00,3,4.55,9.11,13.66
1234,APS,pw,1,8,12,0,80.62,54.67,35,6,32,2,94.59,52.24,4,4.59,18.36,18.36
1234,APS,pw,1,8,12,0,81.85,61.33,12,34,4,25,32.43,75.00,5,4.62,23.12,23.12
1234,APS,pw,1,8,12,0,78.46,65.33,31,18,20,6,83.78,60.78,6,4.63,27.79,27.79
1234,APS,pw,1,8,12,0,88.00,73.33,21,34,4,16,56.76,84.00,7,4.65,32.54,32.54
1234,APS,pw,1,8,12,0,87.69,69.33,29,23,15,8,78.38,65.91,8,4.67,32.54,37.38
1234,APS,pw,1,8,12,0,87.69,66.67,29,21,17,8,78.38,63.04,9,4.69,32.54,42.23
1234,APS,pw,1,8,12,0,89.23,69.33,29,23,15,8,78.38,65.91,10,4.70,32.54,47.02
1234,APS,pw,1,8,12,0,89.54,69.33,29,23,15,8,78.38,65.91,11,4.72,32.54,51.94
1234,APS,pw,1,8,12,0,89.54,70.67,29,24,14,8,78.38,67.44,12,4.72,32.54,56.60
1234,APS,pw,1,8,12,0,91.08,69.33,29,23,15,8,78.38,65.91,13,4.73,32.54,61.44
1234,APS,pw,1,8,12,0,91.08,69.33,29,23,15,8,78.38,65.91,14,4.71,32.54,65.96
1234,APS,pw,1,8,12,0,91.38,69.33,29,23,15,8,78.38,65.91,15,4.71,32.54,70.62
1234,APS,pw,1,8,12,0,91.38,74.67,25,31,7,12,67.57,78.12,16,4.71,75.34,75.34
1234,APS,pw,1,8,12,0,89.23,64.00,31,17,21,6,83.78,59.62,17,4.72,75.34,80.32
1234,APS,pw,1,8,12,0,91.38,65.33,31,18,20,6,83.78,60.78,18,4.73,75.34,85.05
1234,APS,pw,1,8,12,0,92.00,69.33,29,23,15,8,78.38,65.91,19,4.73,75.34,89.90
1234,APS,pw,1,8,12,0,91.69,74.67,24,32,6,13,64.86,80.00,20,4.73,94.59,94.59
1234,APS,pw,1,8,12,0,91.69,72.00,26,28,10,11,70.27,72.22,21,4.74,94.59,99.56
1234,APS,pw,1,8,12,0,91.69,70.67,27,26,12,10,72.97,69.23,22,4.74,94.59,104.30
1234,APS,pw,1,8,12,0,92.62,72.00,26,28,10,11,70.27,72.22,23,4.75,94.59,109.19
1234,APS,pw,1,8,12,0,92.62,74.67,25,31,7,12,67.57,78.12,24,4.76,114.23,114.23
1234,APS,pw,1,8,12,0,92.62,72.00,25,29,9,12,67.57,73.53,25,4.77,114.23,119.17
1234,APS,pw,1,8,12,0,92.92,72.00,25,29,9,12,67.57,73.53,26,4.76,114.23,123.72
1234,APS,pw,1,8,12,0,93.23,72.00,26,28,10,11,70.27,72.22,27,4.76,114.23,128.42
1234,APS,pw,1,8,12,0,93.85,70.67,27,26,12,10,72.97,69.23,28,4.76,114.23,133.23
1234,APS,pw,1,8,12,0,94.77,69.33,26,26,12,11,70.27,68.42,29,4.77,114.23,138.28
1234,APS,pw,1,8,12,0,94.77,68.00,24,27,11,13,64.86,68.57,30,4.77,114.23,143.25
1234,APS,pw,1,8,12,0,95.08,66.67,23,27,11,14,62.16,67.65,31,4.78,114.23,148.27
1234,APS,pw,1,8,12,0,95.08,65.33,25,24,14,12,67.57,64.10,32,4.78,114.23,152.87
1234,APS,pw,1,8,12,0,95.08,66.67,26,24,14,11,70.27,65.00,33,4.76,114.23,157.19
1234,APS,pw,1,8,12,0,95.08,66.67,26,24,14,11,70.27,65.00,34,4.76,114.23,161.83
1234,APS,pw,1,8,12,0,95.08,65.33,25,24,14,12,67.57,64.10,35,4.75,114.23,166.42
1234,APS,pw,1,8,12,0,95.69,65.33,25,24,14,12,67.57,64.10,36,4.76,114.23,171.51
1234,APS,pw,1,8,12,0,95.08,70.67,19,34,4,18,51.35,82.61,37,4.77,114.23,176.43
1234,APS,pw,1,8,12,0,95.38,60.00,26,19,19,11,70.27,57.78,38,4.77,114.23,181.29
1234,APS,pw,1,8,12,0,95.69,64.00,25,23,15,12,67.57,62.50,39,4.78,114.23,186.28
1234,APS,pw,1,8,12,0,86.46,49.33,2,35,3,35,5.41,40.00,40,4.77,114.23,190.81
1234,APS,pw,1,8,12,0,93.54,57.33,9,34,4,28,24.32,69.23,41,4.78,114.23,195.80
1234,APS,pw,1,8,12,0,94.46,64.00,14,34,4,23,37.84,77.78,42,4.78,114.23,200.83
1234,APS,pw,1,8,12,0,94.77,70.67,19,34,4,18,51.35,82.61,43,4.78,114.23,205.53
1234,APS,pw,1,8,12,0,95.08,73.33,21,34,4,16,56.76,84.00,44,4.79,114.23,210.60
1234,APS,pw,1,8,12,0,95.08,73.33,21,34,4,16,56.76,84.00,45,4.79,114.23,215.66
1234,APS,pw,1,8,12,0,95.08,73.33,21,34,4,16,56.76,84.00,46,4.79,114.23,220.44
1234,APS,pw,1,8,12,0,95.38,73.33,21,34,4,16,56.76,84.00,47,4.79,114.23,225.21
1234,APS,pw,1,8,12,0,95.38,73.33,21,34,4,16,56.76,84.00,48,4.80,114.23,230.23
1234,APS,pw,1,8,12,0,95.38,72.00,21,33,5,16,56.76,80.77,49,4.80,114.23,235.11
1234,APS,pw,1,8,12,0,96.00,72.00,21,33,5,16,56.76,80.77,50,4.80,114.23,240.00
1234,APS,pw,1,8,12,0,96.62,73.33,22,33,5,15,59.46,81.48,51,4.80,114.23,244.96
1234,APS,pw,1,8,12,0,96.31,73.33,21,34,4,16,56.76,84.00,52,4.80,114.23,249.60
1234,APS,pw,1,8,12,0,96.31,73.33,21,34,4,16,56.76,84.00,53,4.81,114.23,254.74
