seed,prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
1,APS,pw,1,8,12,0,96.92,74.67,21,35,3,16,56.76,87.50,63,4.84,299.63,304.64
1,APS,pw,2,8,12,0,93.49,63.44,20,39,7,27,42.55,74.07,63,4.79,78.40,302.01
1,APS,pw,3,8,12,0,98.13,78.48,13,49,7,10,56.52,65.00,63,4.78,301.19,301.19
1,APS,pw,4,8,12,0,85.09,82.05,26,38,9,5,83.87,74.29,66,4.53,29.65,298.86
1,APS,pw,5,8,12,0,90.15,77.33,55,3,16,1,98.21,77.46,66,4.61,54.55,304.41
1,APS,rand,1,8,12,0,96.00,92.00,33,36,4,2,94.29,89.19,59,5.14,148.29,303.26
1,APS,rand,2,8,12,0,94.46,89.33,32,35,5,3,91.43,86.49,60,5.05,155.44,302.94
1,APS,rand,3,8,12,0,96.07,82.61,23,34,7,5,82.14,76.67,64,4.71,301.30,301.30
1,APS,rand,4,8,12,0,95.37,89.47,33,35,5,3,91.67,86.84,63,4.82,177.16,303.74
1,APS,rand,5,8,12,0,95.11,87.67,26,38,3,6,81.25,89.66,63,4.82,115.68,303.56
1,ANS,pw,1,8,12,0,95.08,60.00,13,32,6,24,35.14,68.42,62,4.90,182.48,303.49
1,ANS,pw,2,8,12,0,97.39,89.25,44,39,7,3,93.62,86.27,65,4.66,257.54,302.88
1,ANS,pw,3,8,12,0,88.47,73.42,4,54,2,19,17.39,66.67,62,4.86,53.32,301.26
1,ANS,pw,4,8,12,0,79.19,75.64,21,38,9,10,67.74,70.00,61,4.48,21.31,273.57
1,ANS,pw,5,8,12,0,91.38,78.67,54,5,14,2,96.43,79.41,67,4.51,89.31,302.34
1,ANS,rand,1,8,12,0,98.15,89.33,31,36,4,4,88.57,88.57,57,5.32,303.20,303.20
1,ANS,rand,2,8,12,0,95.69,90.67,30,38,2,5,85.71,93.75,61,4.96,245.11,302.64
1,ANS,rand,3,8,12,0,98.49,84.06,24,34,7,4,85.71,77.42,64,4.74,299.06,303.54
1,ANS,rand,4,8,12,0,95.06,86.84,34,32,8,2,94.44,80.95,64,4.76,227.24,304.62
1,ANS,rand,5,8,12,0,93.58,84.93,25,37,4,7,78.12,86.21,64,4.76,128.23,304.50
1,Ext,pw,1,8,12,0,85.85,73.33,20,35,3,17,54.05,86.96,50,6.03,107.29,301.49
